subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,EIBC,SECTION,,Q434,Which of the following results from stagflation?,Unemployment decreases,The price level decreases,The aggregate supply curve shifts to the right,The Phillips curve shifts to the right,Real GDP increases,D,"D   Stagflation results from the aggregate supply curve shifting to the left, which increases unemployment and the price level and decreases real GDP. Because unemployment increases for a given inflation rate, the Phillips curve shifts to the right.",,,
APMACRO,EIBC,SECTION,,Q435,A nation is experiencing growth in real GDP and rising rates of inflation. What has likely caused these changes to the economy?,Short-run aggregate supply has increased.,Aggregate demand has increased.,Short-run aggregate supply has decreased.,Aggregate demand has decreased.,Long-run aggregate supply has increased.,B,BâRising real GDP and rising price levels are consistent with a rightward shift of aggregate demand along the upward sloping short-run aggregate supply curve.,,,
APMACRO,EIBC,SECTION,,Q436,The unemployment rate and inflation rate in Maxland are both rising. What has happened to the economy of Maxland?,Short-run aggregate supply has increased.,Aggregate demand has increased.,Short-run aggregate supply has decreased.,Aggregate demand has decreased.,Long-run aggregate supply has increased.,C,"CâA decrease in the short-run aggregate supply curve is bad news for an economy. The price level would increase and the real GDP would decrease, causing unemployment rates to rise.",,,
APMACRO,NIPD,SECTION,,Q437,Suppose an economy is at full employment. An inflationary gap could be caused by,rising investor pessimism.,falling real interest rates.,higher income taxes.,rising trade deficits with other nations.,falling consumer wealth.,B,"BâAn inflationary gap would occur if the nation was producing beyond full-employment GDP, and an increase in aggregate demand would be the cause. Falling real interest rates would increase investment spending and shift aggregate demand to the right.",,,
APMACRO,NIPD,SECTION,,Q438,Which of the following is a traditional tool used by the Fed to increase the money supply?,A lower discount rate,Selling Treasury securities to commercial banks,A higher reserve ratio,A lower personal income tax rate,A lower investment income tax rate,A,"AâA lower discount rate increases excess reserves by making it less costly for commercial banks to borrow from the Fed. This is one of the Fed's traditional tools of monetary policy. Remember that the Fed does not impact taxes, as taxes are fiscal policy made by the executive and legislative branches.",,,
APMACRO,FS,SECTION,,Q439,A financial asset that gives the holder a small percentage of ownership in a corporation is called,a share of stock.,a Treasury bill.,fiat money.,an insurance policy.,a corporate bond.,A,"AâFirms can raise money by selling shares of stock, each of which represents a small percentage of ownership in the firm.",,,
APMACRO,NIPD,SECTION,,Q440,"When a firm wants to raise money without relinquishing ownership of the firm, they will most likely issue ____ to the public.",a share of stock,a Treasury bill,mutual funds,an insurance policy,a corporate bond,E,"EâA firm can raise money by issuing corporate bonds. When people buy the bonds, they are essentially lending the firm money for operations or investments. The firm promises to repay the holder of the bonds over time, with interest included.",,,
APMACRO,FS,SECTION,,Q441,Excess reserves in the banking system will increase if,the reserve ratio is increased.,the checking deposits increase.,the discount rate is increased.,the Fed sells Treasury securities to commercial banks.,income tax rates increase.,B,"BâWhen more deposits are made, the bank increases required reserves by the fraction of the reserve ratio, and increased excess reserves are lent to borrowers to create more money.",,,
APMACRO,NIPD,SECTION,,Q442,"When a government engages in deficit spending, how does this affect the market for loanable funds, the real interest rate, and private investment spending?",Supply decreases     Decreases     Decreases,Demand increases     Increases     Decreases,Demand increases     Decreases     Decreases,Demand decreases     Increases     Increases,Supply increases     Decreases     Increases,B,"BâGovernment borrowing increases the demand for loanable funds, which increases the real interest rate. Higher real interest rates will discourage, or ""crowd out,"" private investment spending.",,,
APMACRO,EIBC,SECTION,,Q443,"If the velocity of money is constant, an increase in the money supply will create _____ in the long run.",unemployment,economic growth,inflation,an increase in real GDP,higher interest rates,C,CâThe quantity theory of money asserts that the velocity of money is constant and that the economy naturally returns to full employment in the long run. A main implication of this theory is that any increase in the money supply will only increase the price level (inflation) in the long run.,,,
APMACRO,EIBC,SECTION,,Q444,This nation's economy is currently in long-run equilibrium at point C. What would occur to cause the economy to move to point E?,A decrease in aggregate demand,A decrease in long-run aggregate supply,An increase in aggregate demand,A decrease in short-run aggregate supply,An increase in short-run aggregate supply,A,AâA decrease in aggregate demand creates higher unemployment and lower inflation in the short run. Any movement along the SRPC is the result of a shift in aggregate demand.,,,
APMACRO,FS,SECTION,,Q445,"Suppose the reserve ratio is 0.1. If a bank gets $200 in deposits, what is the maximum amount it can lend?",$20 ,$180 ,"$2,000 ",Greater than $200 but less than $500,None of the above,B,B   200-200*0.1=180,,,
APMACRO,NIPD,SECTION,,Q446,Which of the following will shift the demand curve for the Mexican peso to the left?,Speculation that the peso will increase in value,An increase in interest rates in Mexico relative to other countries,A lower rate of inflation in Mexico relative to other countries,An increase in incomes elsewhere relative to in Mexico,A decrease in the international demand for Mexican-made textiles,E,"E   Speculation that the peso will increase in value will increase the demand for the peso, shifting the demand curve to the right. If Mexico offers higher interest rates, investors will demand more pesos in order to put their funds in Mexican financial institutions. A lower rate of inflation in Mexico will draw additional consumption of Mexican goods, thus increasing peso demand. An increase in incomes elsewhere will lead foreign consumers to spend more and demand pesos. But a decrease in the international demand for Mexican-made textiles will decrease the demand for pesos used to purchase those textiles.",,,
APMACRO,EIBC,SECTION,,Q447,This nation's economy is currently in long-run equilibrium at point C. What would occur to cause the economy to move to point D?,A decrease in aggregate demand,A decrease in long-run aggregate supply,An increase in aggregate demand,A decrease in short-run aggregate supply,An increase in short-run aggregate supply,E,"EâAn increase in the SRAS curve would cause a lower price level, reducing inflation rates. In the long run, the economy would return to full employment at the lower price level.",,,
APMACRO,EIBC,SECTION,,Q448,"If a nation's capacity to produce more output with the same resources has improved, we call it",a recession.,economic growth.,a depression.,a peak in the business cycle.,a trough in the business cycle.,B,BâLong-run economic growth is different from an expansion in the business cycle. Think of it as an outward shift in a nation's production possibilities.,,,
APMACRO,LRCSP,SECTION,,Q449,"When a nation experiences economic growth, we shift the _____ curve _____.",LRAS; rightward,AD; rightward,SRAS; leftward,SRAS; rightward,AD; leftward,A,AâEconomic growth in the long run represents a fundamental increase in a nation's full-employment level of output. An increase in AD or SRAS would increase real output but only in the short run. The rightward shift of the LRAS curve would reflect the long-run growth.,,,
APMACRO,EIBC,SECTION,,Q450,Dodgetopia's economy is currently operating at full employment output Yf with the price level of PLf. Assume the government of Dodgetopia engages in expansionary fiscal policy. What level of output and price level will the economy experience in the long run?,Yf     PLf,Greater than Yf     Greater than PLf,Yf     Greater than PLf,Greater than Yf     PLf,Less than Yf     Less than PLf,C,"CâExpansionary fiscal policy would increase aggregate demand, creating a short-run inflationary gap. In the long run, nominal input prices rise and short-run aggregate supply curve shifts leftward. Eventually the level of output returns to full employment but at a higher price level.",,,
APMACRO,EIBC,SECTION,,Q451,"Economic output is currently below full employment. If no action is taken, how will this economy adjust in the long run?","The SRAS will decrease, increasing the size of the recessionary gap.","The LRAS will decrease, bringing the economy back to full employment.","The AD will increase, bringing the economy back to full employment.","The SRAS will increase, bringing the economy back to full employment.","The AD will decrease, increasing the size of the recessionary gap.",D,"DâSince the economy is operating below full employment, there is a recessionary gap. In the long run, nominal input prices fall and short-run aggregate supply shifts to the right, eliminating the recessionary gap and returning the economy to full employment.",,,
APMACRO,NIPD,SECTION,,Q452,Long-term economic growth is most likely under which scenario?,Deficit spending to increase aggregate demand,Government investment in high-tech research and development,Higher resource prices,Tax cuts on consumption spending,Weak environmental protection and high levels of pollution,B,BâEconomic growth is more likely when a nation invests in research and technological advancements. These investments are costly in the short run but usually create long-run growth that more than compensates for that cost.,,,
APMACRO,BEC,SECTION,,Q453,"All else equal, economic growth should result in",higher real output per worker.,a decrease in demand for capital goods.,a lower standard of living.,a decrease in demand for labor.,no change in real output per worker.,A,"AâEconomic growth increases a nation's productivity, so real output per worker is expected to rise. This growth should raise the nation's standard of living and increase the demand for all factors of production.",,,
APMACRO,OEITF,SECTION,,Q454,"If the world price of copper exceeds the domestic (U.S.) price of copper, we would expect",the United States to be a net exporter of copper.,the United States to impose a tariff on imported copper to protect domestic producers.,the demand for U.S. copper to fall.,a growing trade deficit in the United States in goods and services.,the dollar to depreciate relative to the currencies of other copper-producing nations.,A,"AâNations are net exporters of a good when the world price is greater than the domestic price. A higher world price creates a surplus in the domestic market and the surplus is exported. This situation improves the U.S. balance of trade and would not foster any U.S. protective trade policy. In currency markets, the dollar likely appreciates, as foreign consumers need dollars to buy U.S. copper.",,,
APMACRO,NIPD,SECTION,,Q455,"If the Central Bank of Hanoveria has been lowering interest rates relative to interest rates in other nations, how would this affect the balance of payments and value of Hanoveria's currency?","Money would flow into the capital account, depreciating the currency.","Money would flow out of the capital account, depreciating the currency.","Money would flow into the current account, depreciating the currency.","Money would flow out of the current account, appreciating the currency.","Money would flow into the capital account, appreciating the currency.",B,"BâLower interest rates will cause foreign investors to pull money out of Hanoveria's capital markets and seek higher returns in other nations. This decrease in the demand for Hanoveria's investments will decrease the demand for the currency, depreciating its value.",,,
APMACRO,EIBC,SECTION,,Q456,"When the Mexican economy is strong and real GDP is rising, what happens to the supply of the Mexican peso, the demand for the American dollar, and the value of the peso relative to the dollar?",Increasing     Increasing     Increasing,Decreasing     Increasing     Decreasing,Increasing     Increasing     Decreasing,Decreasing     Decreasing     Increasing,Increasing     Decreasing     Decreasing,C,"CâA strong Mexican economy will cause consumers to demand more American-made products, which requires a greater supply of pesos to match the increased demand for the dollars. When the supply of pesos increases, it decreases the value of the peso, measured in dollars per peso. At the same time, stronger demand for dollars increases the value of the dollar, measured in pesos per dollar.",,,
APMACRO,OEITF,SECTION,,Q458,Which of the following transactions would appear as a monetary inflow into the U.S. current account?,An American buys a car produced in Sweden.,An American bank buys stock in a Swedish firm that produces cars.,A European investor buys a factory in Wisconsin.,A Brazilian family sends money to a daughter attending college in Indiana.,A Swedish retail store buys furniture produced in the United States.,E,"EâThe current account tracks the international flow of money spent on goods and services. When a foreign retailer buys furniture made in the United States, the United States exports the goods and money flows into the U.S. current account.",,,
APMACRO,NIPD,SECTION,,Q459,Suppose real interest rates in the United States are higher than real interest rates in the European Union (EU). How will this difference in real interest rates affect currency markets and the value of the U.S. dollar relative to the European euro?,"Demand for the euro rises, increasing the dollar's value against the euro.","Demand for the dollar rises, increasing the dollar's value against the euro.","Supply of the dollar rises, decreasing the dollar's value against the euro.","Supply of the euro rises, decreasing the dollar's value against the euro.","Demand for the dollar rises, decreasing the dollar's value against the euro.",B,"BâHigher interest rates in the United States will attract European investment in American financial markets, increasing the demand for the U.S. dollar. Stronger demand for the dollar causes the dollar to rise in value, or appreciate, relative to the euro.",,,
APMACRO,BEC,SECTION,,Q460,"When an economy produces a combination of goods that lies on the production possibilities frontier,",resources are being used fully and efficiently.,prices are constant.,opportunity cost is constant.,resources cannot be exhausted.,prices are fair.,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q461,"According to the information in the table below,  _________  has the absolute advantage  and  ________ has the comparative advantage in butter.",Cuba; Spain,Cuba; Cuba,Spain; Cuba,Spain; Spain,Spain; neither country,C,Answer: C,,,
APMACRO,BEC,SECTION,,Q462,Which of the following events has no effect on GDP?,"A collector invests in a classic, mint condition 1957 Chevy.",The Department of Transportation repaves a road.,A homeowner pays a landscaper for services rendered.,A college buys computers.,A foreign corporation buys a jet produced by a domestic company.,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q463,Rising prices are a problem because,money in household savings accounts can now buy fewer goods and services.,household incomes generally do not rise with prices.,the economy could run out of money.,borrowers have to repay loans with more dollars.,households are encouraged to save more.,A,Answer: A,,,
APMACRO,EIBC,SECTION,,Q464,It is unlikely that the unemployment rate will ever fall to zero because of,frictional unemployment.,cyclical unemployment.,many people would not take a job even if one were offered.,those housed in institutions such as prisons.,the aged and infirm in our population.,A,Answer: A,,,
APMACRO,EIBC,SECTION,,Q465,"If the real interest rate is 2 percent and the inflation rate is 3 percent, then according to Fisher’s hypothesis, the",nominal interest rate is negative.,economy is in a recession.,price level is greater than the return on investment.,nominal interest rate is 5 percent.,Fed should increase the money supply.,D,Answer: D,,,
APMACRO,EIBC,SECTION,,Q466,"If nominal GDP equals $5,000 and real GDP equals $4,000, then the GDP deflator equals",125,1.25,800,0.8,300,A,Answer: A,,,
APMACRO,LRCSP,SECTION,,Q467,"Suppose government purchases increase by $100 and the marginal propensity to consume is 0.8. If there is crowding out, then the equilibrium level of real gross domestic product will",decrease by $80.,increase by $500.,decrease by $500.,decrease by $125.,increase by $0 or some amount less than $500.,E,Answer: E,,,
APMACRO,EIBC,SECTION,,Q468,The government of a country decides to increase government spending and taxes by the same amount in order to keep a balanced budget. The MPC is 0.75. Which of the following is true of this situation?,expansionary     4     3,expansionary     4     -3,contractionary     4     3,contractionary     4     -3,contractionary     5     4,B,"B   Increasing government spending is expansionary; however, the increase in taxes is contractionary. Government spending is a component of aggregate demand/aggregate expenditure, and therefore a change in government spending will change aggregate expenditure by that amount. The increase in taxes will cause a decrease in consumption; however, consumption will not change by the same amount as the tax increase, as people will change their consumption based on the MPC. In this case the MPC is 0.75, so consumption will only change by 75 percent of the amount of tax change. Thus, the overall effect in this situation is expansionary. Cross out (C), (D), and (E). The equation for the expenditure multiplier is , which equals , or 4. The tax multiplier is always one less than the expenditure multiplier and negative, so it is -3. The answer is (B).",,,
APMACRO,NIPD,SECTION,,Q469,"When the price level rises, aggregate supply remains unchanged in the long-run because",aggregate demand falls.,inflation reduces purchasing power.,wages and other input prices rise proportionally.,higher prices reduce the velocity of money.,the economy is self-regulating over time.,C,Answer: C,,,
APMACRO,EIBC,SECTION,,Q470,Which of the following would lower the equilibrium price level in the short-run?,An increase in federal deficit spending,An increase in the income tax rate,An interruption in the supply of oil,A lower unemployment rate,An increase in the velocity of money,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q471,"In the long-run, an increase in the money supply raises",the equilibrium price level and the equilibrium level of output.,the real interest rate.,employment.,rational expectations.,the equilibrium price level.,E,Answer: E,,,
APMACRO,NIPD,SECTION,,Q472,"If the MPC is 0.75 and there is no crowding-out, then an initial increase in government spending of $200 combined with a tax increase of $200 billion will shift the aggregate demand curve to the",left by $400 billion.,right by $400 billion.,left by $200 billion.,right by $200 billion.,right by $150 billion.,D,Answer: D,,,
APMACRO,EIBC,SECTION,,Q473,Which of the following events will shift the short-run aggregate supply curve to the right?,An increase in government spending,An increase in the labor force,A decrease in unemployment,An increase in the money supply,An increase in the price level,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q474,Inflation can be defined as the,percentage change in the price level.,cost of living.,level of prices in the economy.,growth rate of production.,decline in a nation’s living standards.,A,Answer: A,,,
APMACRO,NIPD,SECTION,,Q475,"Imagine an economy on its production-possibilities frontier and the federal government increases deficit spending. In the long-run, what will happen to the equilibrium price level and the equilibrium quantity of output?","increase, decrease","increase, decrease","decrease, decrease","remain unchanged, increase","increase, remain unchanged",E,Answer: E,,,
APMACRO,FS,SECTION,,Q476,"In order to increase the money supply, the Fed could",raise the federal funds rate.,raise the discount rate.,buy government securities on the secondary market.,raise the reserve requirement.,lower the federal funds rate.,C,Answer: C,,,
APMACRO,EIBC,SECTION,,Q477,Which of the following would cause an increase in the demand for money?,An increase in the price level,An increase in the real interest rate,An increase in the velocity of money,A recession,A fall in per-capita income,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q478,What is given up to pursue another alternative is known as,capital.,real cost.,money cost.,price.,opportunity cost.,E,Answer: E,,,
APMACRO,FS,SECTION,,Q479,Having a fractional reserve banking system means that,no single loan can be larger than 20 percent of the bankâs holdings,the central bank reserves the right to audit any bank at any time,the central bank holds a certain fraction of GDP on reserve at all times,the central bank must approve loans over $1 million,a bank cannot lend out all of its deposits,E,"E   Under a fractional reserve banking system, a fraction of total deposits must be held on reserve and the rest can be lent out. This prevents a bank from lending out all of its deposits.",,,
APMACRO,BEC,SECTION,,Q480,"When the Fed raises the discount rate, its intention is to",punish depository institutions that are highly leveraged.,increase earnings.,send a signal that an economic slowdown is expected.,discourage borrowing by depository institutions.,promote employment,D,Answer: D,,,
APMACRO,NIPD,SECTION,,Q481,A decrease in the supply of loanable funds will have which of the following effects on the real interest rate and investment spending?,increase    decrease,increase    increase,decrease    decrease,remain unchanged    increase,increase    remain unchanged,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q482,Which of the following is not included in M1?,Demand deposits,Savings accounts,Currency,Other checkable deposits,Small-time deposits,E,Answer: E,,,
APMACRO,BEC,SECTION,,Q483,"How should a tariff on imports be viewed by domestic consumers, domestic firms, and trade partners?",beneficial    beneficial    beneficial,detrimental    detrimental    detrimental,detrimental    beneficial    beneficial,detrimental    beneficial    detrimental,beneficial    beneficial    detrimental,D,Answer: D,,,
APMACRO,NIPD,SECTION,,Q484,"If the reserve requirement is raised, then the money multiplier",increases.,decreases.,changes in an indeterminate way.,must be raised as well.,becomes less important.,B,Answer: B,,,
APMACRO,BEC,SECTION,,Q485,"Bill is a skilled welder, but he cannot find work because employers do not need as many welders since robots do much of the welding these days. Bill is",frictionally unemployed.,cyclically unemployed.,structurally unemployed.,considered to be a hidden worker.,not counted in the ranks of the unemployed.,C,Answer: C,,,
APMACRO,FS,SECTION,,Q486,"In an open-market operation to increase the money supply, the Fed would",raise the federal funds rate.,raise the discount rate.,buy government securities on the secondary market.,raise the reserve requirement.,sell government securities on the secondary market.,C,Answer: C,,,
APMACRO,NIPD,SECTION,,Q487,A decrease in the price level increases,inflationary expectations.,household purchasing power in the long-run.,the velocity of money.,the real value of household wealth.,aggregate supply.,D,Answer: D,,,
APMACRO,BEC,SECTION,,Q488,"If the relative price of coffee rises due to an increase in demand, then",less coffee will be consumed.,more resources will be devoted to coffee production.,less tea will be consumed.,suppliers will bring less to market.,the price will eventually return to where it was prior to the increase in demand.,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q489,Suppose the price level rises while a person’s hourly wage rate remains unchanged. What does this imply for real and nominal wages?,increase    decrease,increase    increase,decrease    decrease,remain unchanged    increase,decrease    remain unchanged,E,Answer: E,,,
APMACRO,EIBC,SECTION,,Q490,"If technology makes production less expensive and at the same time exports decrease, which of the following will result with certainty?",Real GDP will increase.,Real GDP will decrease.,The price level will increase.,The price level will decrease.,Real output will remain the same.,D,"D   The improvement in technology will shift the AS curve to the right, which decreases the price level and increases real GDP. The decrease in exports will shift the AD curve to the left, decreasing the price level and decreasing real GDP. Because the two events have opposing influences on real GDP, the net result is uncertain. However, both events decrease the price level, so it is certain that the price level drops.",,,
APMACRO,EIBC,SECTION,,Q491,"According to the quantity theory of money, if the money supply increases, then what does this imply for real and nominal GDP?",increase    decrease,increase    increase,decrease    decrease,remain unchanged    increase,increase    remain unchanged,D,Answer: D,,,
APMACRO,NIPD,SECTION,,Q492,"If the MPC is 0.8, a tax increase of $100 billion will shift the aggregate demand curve to the",left by $400 billion.,right by $400 billion.,left by $500 billion.,right by $500 billion.,left by $80 billion.,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q493,An unexpected fall in the GDP deflator,benefits producers.,increases the demand for money.,benefits lenders.,depreciates the currency.,lowers nominal wages.,C,Answer: C,,,
APMACRO,EIBC,SECTION,,Q494,"In order to compare living standards in two countries, one may use",the level of GDP.,per capita GDP.,the growth rate of GDP.,the GDP deflator.,real GDP multiplied by population.,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q495,Which of the following is most likely to result in long-term economic growth?,An increase in government spending,Investment in human capital,An increase in the money supply,A currency depreciation,A currency appreciation,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q496,Which of the following would shift the demand for money to the left?,An increase in the price level,A decrease in government spending,A decrease in price level,A decrease in the interest rate,An increase in national income,C,Answer: C,,,
APMACRO,NIPD,SECTION,,Q497,Savings are important for the economy because they,prevent excess demand.,promote the virtue of thrift.,enhance the productivity of depository institutions.,can be used to fund investment in physical capital.,allow for inventory reduction.,D,Answer: D,,,
APMACRO,BEC,SECTION,,Q498,Which of the following shifts the production possibilities frontier inward?,Exports,Imports,Climate change that makes agriculture less productive,Rising prices,An increase in the number of unemployed people,C,Answer: C,,,
APMACRO,BEC,SECTION,,Q499,"In economics, ""land"" refers to",all productive resources.,all natural resources.,a sovereign nation.,real estate only.,corporate and household chattels.,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q500,An increase in labor productivity shifts the production possibilities frontier and long-run aggregate supply curve in which directions?,outward    right,outward    left,inward    right,inward    left,outward    upward,A,Answer: A,,,
APMACRO,BEC,SECTION,,Q501,Which of the following must exist to allow for mutual benefit from specialization and trade between two countries?,Comparative advantage in the production of a good or service,Absolute advantage in the production of a good or service,Increasing marginal returns in production,Absolute and comparative advantage in the production of a good or service,Absolute advantage and increasing marginal returns in production,A,A   Neither an absolute advantage nor increasing marginal returns in the production of a good are necessary to allow mutual benefit from specialization and trade. The opportunity for two countries to benefit from specialization and trade rests only on the existence of a comparative advantage in the production of a good or service.,,,
APMACRO,EIBC,SECTION,,Q502,Suppose nominal GDP increases from one year to the next. From that you may conclude that,production has increased.,the price level has increased.,"either production or prices, or both, have increased.",tax revenues exceed government receipts.,the demand for the country’s currency increased.,C,Answer: C,,,
APMACRO,BEC,SECTION,,Q503,"By definition, the balance of trade improves if",government receipts exceed tax revenues.,imports increase.,exports increase.,tax revenues exceed government receipts.,the demand for the country’s currency increases.,C,Answer: C,,,
APMACRO,OEITF,SECTION,,Q504,"If a country has a current account surplus, then what can you conclude about its net exports and its capital and financial account?",negative    negative,negative    positive,positive    zero,positive    positive,positive    negative,E,Answer: E,,,
APMACRO,OEITF,SECTION,,Q505,"Suppose a U.S. dollar can be exchanged for a British pound. Further suppose that in the week before, the exchange rate was ? British pound for 1 U.S. dollar. From this you can discern that the",dollar has depreciated against the pound.,pound has depreciated against the dollar.,pound has appreciated against the dollar.,U.S. intervened in foreign exchange markets.,demand for dollars has increased.,B,Answer: B,,,
APMACRO,BEC,SECTION,,Q506,"If the Country X becomes politically unstable, you would expect the demand for its currency to",decrease and the value of its currency to depreciate.,decrease and the value of its currency to appreciate.,increase and the value of its currency to depreciate.,increase and the value of its currency to appreciate.,increase and the supply of its currency to decrease.,A,Answer: A,,,
APMACRO,EIBC,SECTION,,Q507,Suppose Country Y’s trade partners experience rising unemployment and falling incomes. How would that affect Country Y’s currency and trade balance?,appreciate    improve,appreciate    worsen,depreciate    imrove,depreciate    worsen,unaffected    worsen,D,Answer: D,,,
APMACRO,EIBC,SECTION,,Q508,Which of the following would cause stagflation in the short-run?,An increase in federal deficit spending,An increase in the income tax rate,An interruption in the supply of oil,A fall in consumer demand,A recession,C,Answer: C,,,
APMACRO,FS,SECTION,,Q509,"If the Fed decreases the money supply, the economy moves from Point 1 to which point?",A,B,C,D,E,A,Answer: A,,,
APMACRO,EIBC,SECTION,,Q510,The long-run Phillips curve is,horizontal at the non-accelerating inflation rate.,downward sloping.,upward sloping.,vertical at the natural rate of unemployment.,perfectly elastic.,D,Answer: D,,,
APMACRO,FS,SECTION,,Q511,An example of an automatic stabilizer in the United States economy is,the money supply.,the velocity of money.,the food stamp program (SNAP).,discretionary fiscal policy.,the Federal Reserve.,C,Answer: C,,,
APMACRO,EIBC,SECTION,,Q512,The GDP Deflator differs from the CPI in that the GDP Deflator,is thought to slightly overestimate the inflation rate,uses base year quantities in its calculations,incorporates both current year prices and base year prices,incorporates current year quantities in its calculations,is the favored price index of the U.S. government,D,"D   The CPI uses base year quantities, is favored by the U.S. government, and is thought to slightly overestimate the inflation rate. Both indexes incorporate both current year and base year prices. The GDP Deflator differs from the CPI in its use of current year quantities in its calculations.",,,
APMACRO,BEC,SECTION,,Q513,Labor Data for Nation X,0.1%.,1%.,10%.,12.5%.,14.3%.,D,Answer: D,,,
APMACRO,EIBC,SECTION,,Q514,The appropriate monetary policy to close a recessionary gap consists of,deficit reduction.,raising taxes.,increasing government spending.,raising interest rates.,increasing the money supply.,E,Answer: E,,,
APMACRO,EIBC,SECTION,,Q515,Expansionary fiscal policy will,lower inflation.,raise the equilibrium price level.,reduce equilibrium output.,increase the unemployment rate.,reduce the equilibrium real interest rate.,B,Answer: B,,,
APMACRO,NIPD,SECTION,,Q516,Which of the following policies will shift the short-run aggregate supply curve to the right?,An increase in the money supply,A decrease in the money supply,A tax rate increase,A reduction in regulations producers are required to follow,An increase in transfer payments to households,D,Answer: D,,,
APMACRO,EIBC,SECTION,,Q517,A decrease in the interest rate the central bank pays on bank reserves will,reduce private investment.,reduce the equilibrium price level.,increase equilibrium output in the short run.,increase the unemployment rate.,increase the federal funds rate.,C,Answer: C,,,
APMACRO,EIBC,SECTION,,Q518,An increase in government spending while the economy is experiencing stagflation will,worsen the deflationary situation.,help to close the inflationary gap while boosting output.,"remedy the price level problem, but not the recessionary gap.","help remedy inflation, but worsen the unemployment rate.",help remedy sluggish output but make the price level even higher.,E,Answer: E,,,
APMACRO,LRCSP,SECTION,,Q519,"Starting at A, a decrease in government spending moves the economy to which points in the short-run and the long-run?",D    A,B    C,B    A,C    B,D    C,B,Answer: B,,,
APMACRO,LRCSP,SECTION,,Q520,"Starting at Point D, if no monetary or fiscal policy is undertaken, then the economy will",move to A in the long-run.,move to B in the long-run.,move to C in the long-run.,remain at D.,move to A in the short-run and C in the long-run.,A,Answer: A,,,
APMACRO,EIBC,SECTION,,Q521,The natural rate of unemployment is the amount of,unemployment that would prevail when cyclical unemployment is zero.,frictional unemployment in the economy.,frictional minus structural unemployment in the economy.,unemployment in agriculture only.,unemployment in agriculture and other natural resource industries.,A,Answer: A,,,
APMACRO,FS,SECTION,,Q522,"Assuming a balanced budget currently exists, which of the following policies would move the economy from D to C?",A federal government surplus,A federal government deficit,An increase in the money supply,A lower tax rate,A decrease in interest rates,A,Answer: A,,,
APMACRO,NIPD,SECTION,,Q523,It is a monetarist point of view that,monetary policy should be used to fine-tune the economy,crowding out is not a problem,the money supply should be increased steadily,the velocity of money is unstable,the economy is inherently unstable,C,C   Monetarists suggest that the use of monetary policy to fine-tune the economy could be destabilizing. They also believe that the crowding out of private investment due to increased interest rates substantially weakens fiscal policy. They see velocity and the economy in general to be relatively stable. Monetarists favor steadily increasing the money supply at a rate equal to the growth in real output rather than active fiscal or monetary policy.,,,
APMACRO,BEC,SECTION,,Q524,"When banks hold ample reserves, the Fed’s most effective method for increasing the federal funds rate is to",increase the discount rate and increase the interest paid on bank reserves.,sell Treasury securities.,buy Treasury securities.,decrease the discount rate and increase the interest paid on bank reserves.,decrease the discount rate and decrease the interest paid on bank reserves.,A,Answer: A,,,
APMACRO,NIPD,SECTION,,Q525,Which group of people will suffer the most from a rising price level?,debtors with fixed interest rates,people with fixed money incomes,"investors in gems, coins, and stamps",property owners,lenders of adjustable-rate mortgage loans,B,"B   People with fixed money incomes will suffer because the purchasing power of their fixed incomes will fall as the price level rises. Debtors will benefit because the purchasing power of the money they must pay back falls as the price level rises. Investors in gems, coins, stamps, and property can expect the prices of the items they own to increase with the price level. Lenders of adjustable-rate mortgages are protected from inflation because the interest rates they receive increase with the price level.",,,
APMACRO,EIBC,SECTION,,Q526,"Droughts, technical glitches, and restrictions on the use of resources can all result in",a vertical Phillips curve,supply shocks,structural shocks,demand-pull inflation,deflation,B,"B   Each of these events would shift the AS curve to the left, increasing inflation and unemployment. A vertical Phillips curve implies that unemployment is constant, so that is ruled out, as is deflation. Demand-pull inflation is caused by an increase in aggregate demand, not a decrease in aggregate supply. Structural shocks result from changes in the structure of aggregate demand. These events described are all sources of supply shocks.",,,
APMACRO,EIBC,SECTION,,Q527,Gross Domestic Product is a close approximation of,national income,societal welfare,the consumer price index,the GDP deflator,the current account balance,A,A   GDP measures the worth of a country's goods and services. Therefore the answer is (A).,,,
APMACRO,FS,SECTION,,Q528,"On a bank's balance sheet, which of the following is considered a liability?",Required reserves,Excess reserves,Loans,Deposits,Reserve ratio,D,"D   Reserves are assets of the bank, as are loans, which must be repaid to the bank. Because depositors and not the bank own deposits, deposits are liabilities that must eventually be returned to the owners.",,,
